--- Events ---
LAST SEEN   TYPE      REASON                OBJECT                                                               MESSAGE
52m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-7fdfd5944c-7b8zl    Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-7fdfd5944c-7b8zl to ip-10-0-131-145.ec2.internal
33m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-fc7df578-4sw9t      Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-fc7df578-4sw9t to ip-10-0-131-145.ec2.internal
11m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-fc7df578-zh6bt      Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-fc7df578-zh6bt to ip-10-0-131-145.ec2.internal
34m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-fc7df578-xmvmw      Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-fc7df578-xmvmw to ip-10-0-131-145.ec2.internal
54m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-fc7df578-wmwr5      Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-fc7df578-wmwr5 to ip-10-0-131-145.ec2.internal
15m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-6ffc9db9b5-ldlk7    Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-6ffc9db9b5-ldlk7 to ip-10-0-131-145.ec2.internal
55m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-7fdfd5944c-bdqm2    Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-7fdfd5944c-bdqm2 to ip-10-0-131-145.ec2.internal
6m8s        Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-fc7df578-t5dzk      Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-fc7df578-t5dzk to ip-10-0-131-145.ec2.internal
47m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-7fdfd5944c-td4rb    Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-7fdfd5944c-td4rb to ip-10-0-131-145.ec2.internal
17m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-fc7df578-snps6      Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-fc7df578-snps6 to ip-10-0-131-145.ec2.internal
34m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-667d5cf5b-hsxch     Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-667d5cf5b-hsxch to ip-10-0-131-145.ec2.internal
44m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-fc7df578-hs9kr      Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-fc7df578-hs9kr to ip-10-0-131-145.ec2.internal
48m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-fc7df578-7g9tt      Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-fc7df578-7g9tt to ip-10-0-131-145.ec2.internal
9m17s       Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-7fc68c9f9b-kd6fs    Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-7fc68c9f9b-kd6fs to ip-10-0-131-145.ec2.internal
51m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-fc7df578-sk7fm      Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-fc7df578-sk7fm to ip-10-0-131-145.ec2.internal
73m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-757f6ff866-8bv8x    Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-757f6ff866-8bv8x to ip-10-0-131-145.ec2.internal
33m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-fc7df578-v5blh      Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-fc7df578-v5blh to ip-10-0-131-145.ec2.internal
54m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-7fdfd5944c-s5jfz    Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-7fdfd5944c-s5jfz to ip-10-0-131-145.ec2.internal
49m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-7fdfd5944c-qd997    Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-7fdfd5944c-qd997 to ip-10-0-131-145.ec2.internal
50m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-7fdfd5944c-mz7dp    Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-7fdfd5944c-mz7dp to ip-10-0-131-145.ec2.internal
51m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-7fdfd5944c-mjmhs    Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-7fdfd5944c-mjmhs to ip-10-0-131-145.ec2.internal
34m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-fc7df578-vzn74      Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-fc7df578-vzn74 to ip-10-0-131-145.ec2.internal
49m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-fc7df578-wg64h      Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-fc7df578-wg64h to ip-10-0-131-145.ec2.internal
35m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-7d6bf6b8b8-zfc2n    Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-7d6bf6b8b8-zfc2n to ip-10-0-131-145.ec2.internal
33m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-667d5cf5b-fnmgg     Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-667d5cf5b-fnmgg to ip-10-0-131-145.ec2.internal
46m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-fc7df578-xmb7v      Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-fc7df578-xmb7v to ip-10-0-131-145.ec2.internal
41m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-fc7df578-8jfk5      Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-fc7df578-8jfk5 to ip-10-0-131-145.ec2.internal
29m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-68c777fc54-ftb27    Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-68c777fc54-ftb27 to ip-10-0-131-145.ec2.internal
81m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-fc7df578-mdm7t      Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-fc7df578-mdm7t to ip-10-0-131-145.ec2.internal
42m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-84bd9df874-8n9vs    Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-84bd9df874-8n9vs to ip-10-0-131-145.ec2.internal
27m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-fc7df578-495dc      Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-fc7df578-495dc to ip-10-0-131-145.ec2.internal
45m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-fc7df578-9js52      Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-fc7df578-9js52 to ip-10-0-131-145.ec2.internal
42m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-586d6ddf9d-p59zt    Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-586d6ddf9d-p59zt to ip-10-0-131-145.ec2.internal
50m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-fc7df578-gk8dd      Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-fc7df578-gk8dd to ip-10-0-131-145.ec2.internal
46m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-7fdfd5944c-m8hhb    Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-7fdfd5944c-m8hhb to ip-10-0-131-145.ec2.internal
48m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-7fdfd5944c-jhnbx    Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-7fdfd5944c-jhnbx to ip-10-0-131-145.ec2.internal
47m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-fc7df578-qhq29      Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-fc7df578-qhq29 to ip-10-0-131-145.ec2.internal
72m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-fc7df578-xbq5d      Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-fc7df578-xbq5d to ip-10-0-131-145.ec2.internal
33m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-667d5cf5b-qv44p     Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-667d5cf5b-qv44p to ip-10-0-131-145.ec2.internal
43m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-68c777fc54-gmrdb    Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-68c777fc54-gmrdb to ip-10-0-131-145.ec2.internal
45m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-7fdfd5944c-cg4c9    Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-7fdfd5944c-cg4c9 to ip-10-0-131-145.ec2.internal
26m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-5cbbb94947-q27jv    Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-5cbbb94947-q27jv to ip-10-0-131-145.ec2.internal
53m         Normal    Scheduled             pod/openshift-gitops-operator-controller-manager-fc7df578-ggftr      Successfully assigned openshift-gitops-operator/openshift-gitops-operator-controller-manager-fc7df578-ggftr to ip-10-0-131-145.ec2.internal
81m         Normal    RequirementsUnknown   clusterserviceversion/openshift-gitops-operator.v1.20.3              requirements not yet checked
81m         Normal    RequirementsNotMet    clusterserviceversion/openshift-gitops-operator.v1.20.3              one or more requirements couldn't be found
81m         Normal    SuccessfulCreate      replicaset/openshift-gitops-operator-controller-manager-fc7df578     Created pod: openshift-gitops-operator-controller-manager-fc7df578-mdm7t
81m         Normal    Pulling               pod/openshift-gitops-operator-controller-manager-fc7df578-mdm7t      Pulling image "registry.redhat.io/openshift-gitops-1/gitops-rhel9-operator@sha256:73b844f2dd5f2e2749c66024801ed59539aa363aa18052018b8b80ede0ea544e"
81m         Normal    AddedInterface        pod/openshift-gitops-operator-controller-manager-fc7df578-mdm7t      Add eth0 [10.133.0.19/23] from ovn-kubernetes
81m         Normal    InstallWaiting        clusterserviceversion/openshift-gitops-operator.v1.20.3              installing: waiting for deployment openshift-gitops-operator-controller-manager to become ready: deployment "openshift-gitops-operator-controller-manager" not available: Deployment does not have minimum availability.
81m         Normal    Pulling               pod/openshift-gitops-operator-controller-manager-fc7df578-mdm7t      Pulling image "registry.redhat.io/openshift4/ose-kube-rbac-proxy-rhel9@sha256:b473bb5efee9fb78c1e654ef94da9213e29a8eccfda2e8359b7c1b6b4049b554"
81m         Normal    LeaderElection        lease/2b63967d.openshift.io                                          openshift-gitops-operator-controller-manager-fc7df578-mdm7t_6216e461-02eb-492e-a3b3-6bc5334a6c7d became leader
81m         Normal    Started               pod/openshift-gitops-operator-controller-manager-fc7df578-mdm7t      Started container manager
81m         Normal    Created               pod/openshift-gitops-operator-controller-manager-fc7df578-mdm7t      Created container: manager
81m         Normal    Pulled                pod/openshift-gitops-operator-controller-manager-fc7df578-mdm7t      Successfully pulled image "registry.redhat.io/openshift-gitops-1/gitops-rhel9-operator@sha256:73b844f2dd5f2e2749c66024801ed59539aa363aa18052018b8b80ede0ea544e" in 2.541s (2.541s including waiting). Image size: 266277892 bytes.
81m         Normal    Created               pod/openshift-gitops-operator-controller-manager-fc7df578-mdm7t      Created container: kube-rbac-proxy
81m         Normal    Pulled                pod/openshift-gitops-operator-controller-manager-fc7df578-mdm7t      Successfully pulled image "registry.redhat.io/openshift4/ose-kube-rbac-proxy-rhel9@sha256:b473bb5efee9fb78c1e654ef94da9213e29a8eccfda2e8359b7c1b6b4049b554" in 3.367s (3.367s including waiting). Image size: 494867321 bytes.
81m         Normal    Started               pod/openshift-gitops-operator-controller-manager-fc7df578-mdm7t      Started container kube-rbac-proxy
81m         Normal    NeedsReinstall        clusterserviceversion/openshift-gitops-operator.v1.20.3              calculated deployment install is bad
